transaction_id,user_id,size_bracketing_detected,historical_return_rate,payment_method,order_value_inr,high_risk_pincode,is_returned
pay_100000,cust_1102,0,0.448415116469755,UPI,7060,0,0
pay_100001,cust_1435,0,0.06770705930232332,UPI,5516,1,0
pay_100002,cust_1348,0,0.06757272468830942,UPI,8839,1,0
pay_100003,cust_1270,1,0.10124956545548529,UPI,2219,0,1
pay_100004,cust_1106,0,0.10047516763407911,UPI,1574,0,0
pay_100005,cust_1071,0,0.21399393669558395,Credit_Card,10985,0,0
pay_100006,cust_1188,0,0.17610664099277548,UPI,11614,0,0
pay_100007,cust_1020,0,0.052116746263625696,Credit_Card,5657,0,0
pay_100008,cust_1102,0,0.11337726843703694,UPI,10011,0,0
pay_100009,cust_1121,0,0.10805903398979559,COD,3649,0,0
pay_100010,cust_1466,1,0.1616499261559413,COD,11144,0,1
pay_100011,cust_1214,0,0.047727544917729965,Credit_Card,11247,0,0
pay_100012,cust_1330,1,0.17694697989290076,UPI,8213,1,1
pay_100013,cust_1458,1,0.08814115730207024,UPI,5707,0,0
pay_100014,cust_1087,0,0.1410093573840712,COD,8641,0,0
pay_100015,cust_1372,0,0.10193028889139671,UPI,10152,0,0
pay_100016,cust_1099,1,0.02893057372260037,UPI,10578,0,0
pay_100017,cust_1359,0,0.01759080785412621,UPI,5436,0,0
pay_100018,cust_1151,0,0.12679103513811885,UPI,10807,0,0
pay_100019,cust_1130,0,0.04218809749961795,UPI,2575,0,0
pay_100020,cust_1149,0,0.17959414640153154,COD,5376,0,1
pay_100021,cust_1308,1,0.12107784498644993,UPI,6115,0,1
pay_100022,cust_1257,0,0.4410262394930868,Debit_Card,8765,0,0
pay_100023,cust_1343,0,0.008970187459671814,UPI,7879,0,0
pay_100024,cust_1491,0,0.38957098180012295,UPI,11616,0,0
pay_100025,cust_1413,0,0.1354074131734974,COD,10618,0,0
pay_100026,cust_1293,0,0.12360579832460031,UPI,6152,0,0
pay_100027,cust_1385,0,0.3394356052994056,COD,8292,0,0
pay_100028,cust_1191,0,0.04755131449443885,Credit_Card,11973,0,0
pay_100029,cust_1443,0,0.3015802476178047,UPI,10747,1,1
pay_100030,cust_1276,0,0.2842299694478386,COD,8956,0,1
pay_100031,cust_1160,0,0.41009698336090794,UPI,6174,0,0
pay_100032,cust_1459,1,0.18849651350201355,COD,2041,0,1
pay_100033,cust_1313,0,0.2115659184980836,UPI,3661,0,0
pay_100034,cust_1021,0,0.054260131688926835,COD,3751,0,0
pay_100035,cust_1252,1,0.04193032206256905,UPI,10744,0,0
pay_100036,cust_1235,0,0.020738678433209343,Credit_Card,6069,0,0
pay_100037,cust_1344,0,0.16403012304111442,COD,4244,0,0
pay_100038,cust_1048,0,0.22101744113030283,COD,7541,0,1
pay_100039,cust_1474,0,0.22112517319106723,COD,6175,0,0
pay_100040,cust_1058,0,0.10238269892263296,COD,3060,0,0
pay_100041,cust_1169,0,0.5414092577412,COD,2664,0,0
pay_100042,cust_1475,0,0.12030969753776631,UPI,6919,0,0
pay_100043,cust_1187,0,0.34282604875187533,UPI,4222,0,0
pay_100044,cust_1463,0,0.12418593921332184,UPI,1970,0,0
pay_100045,cust_1270,0,0.32066852041694854,UPI,11108,0,0
pay_100046,cust_1189,0,0.327469744421906,UPI,2968,1,0
pay_100047,cust_1445,0,0.06724689760636743,Credit_Card,9425,0,0
pay_100048,cust_1174,0,0.200720954654597,UPI,2308,0,1
pay_100049,cust_1445,1,0.2711362263028569,Debit_Card,9863,0,0
pay_100050,cust_1050,0,0.3003915039777464,UPI,8219,0,0
pay_100051,cust_1363,0,0.17840250942857966,UPI,6573,1,0
pay_100052,cust_1054,0,0.20409020756676532,Credit_Card,9512,0,0
pay_100053,cust_1243,0,0.017185763505272778,COD,3145,0,0
pay_100054,cust_1319,0,0.02942414672755757,COD,9749,0,0
pay_100055,cust_1130,1,0.08751205161213334,Debit_Card,2629,0,0
pay_100056,cust_1484,1,0.1947362732989265,UPI,2853,0,1
pay_100057,cust_1306,0,0.052846854107947754,Credit_Card,2267,0,0
pay_100058,cust_1134,1,0.19927872245401862,UPI,5395,0,1
pay_100059,cust_1020,0,0.37774061186211844,UPI,10374,0,0
pay_100060,cust_1328,0,0.2553567236754056,Credit_Card,4954,0,0
pay_100061,cust_1166,0,0.01565793525691946,UPI,11700,0,0
pay_100062,cust_1273,1,0.5016354372683218,UPI,8829,0,1
pay_100063,cust_1387,0,0.11216729481336342,COD,3290,0,1
pay_100064,cust_1088,0,0.19495898954092428,COD,11169,0,0
pay_100065,cust_1315,0,0.11297749059499992,UPI,2385,0,1
pay_100066,cust_1013,0,0.272655846756816,UPI,9234,0,0
pay_100067,cust_1241,0,0.2296886698749061,UPI,5406,0,0
pay_100068,cust_1264,0,0.06431430044217445,UPI,5992,1,1
pay_100069,cust_1345,0,0.05159135560991168,COD,11230,0,0
pay_100070,cust_1052,0,0.25871036215425114,UPI,3573,0,0
pay_100071,cust_1385,0,0.11629614615720357,COD,1812,0,0
pay_100072,cust_1339,0,0.28759369811729013,UPI,7769,0,0
pay_100073,cust_1091,0,0.11825836936593001,COD,6817,0,1
pay_100074,cust_1366,0,0.2203974463575202,UPI,2310,0,0
pay_100075,cust_1443,1,0.43744805322974606,COD,11927,0,1
pay_100076,cust_1454,0,0.48016429527280446,UPI,8341,0,0
pay_100077,cust_1427,0,0.07314658298496984,Debit_Card,3532,0,0
pay_100078,cust_1263,0,0.1426112531353047,UPI,11199,1,0
pay_100079,cust_1430,0,0.393420010746527,UPI,11586,0,0
pay_100080,cust_1034,0,0.16732841764851092,COD,8629,0,0
pay_100081,cust_1205,0,0.2933708424800596,COD,4205,0,0
pay_100082,cust_1080,0,0.22526842598774763,COD,10288,0,1
pay_100083,cust_1419,0,0.002393733009352013,Debit_Card,3647,0,0
pay_100084,cust_1049,0,0.3657388117887611,COD,2115,0,0
pay_100085,cust_1359,0,0.3420201083814873,UPI,2447,0,0
pay_100086,cust_1387,0,0.02582655725885361,UPI,7177,0,0
pay_100087,cust_1001,0,0.0032973007936921476,UPI,6151,0,0
pay_100088,cust_1389,0,0.3241946293653714,Debit_Card,9366,0,1
pay_100089,cust_1053,0,0.13017049981376994,UPI,3513,0,0
pay_100090,cust_1105,0,0.015603780447549639,UPI,5197,0,0
pay_100091,cust_1259,0,0.1122830280814823,Credit_Card,1990,0,0
pay_100092,cust_1309,0,0.5034535315886018,COD,5850,0,1
pay_100093,cust_1476,0,0.11669093966366231,UPI,3928,0,0
pay_100094,cust_1190,0,0.1886604126365005,UPI,6487,0,0
pay_100095,cust_1401,1,0.05292821785612663,UPI,10233,0,0
pay_100096,cust_1217,1,0.08456375716419332,UPI,10979,0,0
pay_100097,cust_1043,0,0.37568370203493706,UPI,11325,0,0
pay_100098,cust_1161,0,0.06145923139622603,Debit_Card,6420,0,0
pay_100099,cust_1201,0,0.20225405132260144,Debit_Card,4426,0,0
pay_100100,cust_1445,0,0.2817408840156487,Debit_Card,11044,0,0
pay_100101,cust_1483,0,0.10423147426386592,UPI,8782,0,0
pay_100102,cust_1269,0,0.1725946536184197,COD,5876,0,0
pay_100103,cust_1350,0,0.09291254785856395,UPI,10990,0,1
pay_100104,cust_1303,0,0.33162432888058163,Credit_Card,6368,0,0
pay_100105,cust_1270,0,0.06604736376177314,COD,8486,0,0
pay_100106,cust_1455,0,0.25502683786699704,UPI,8362,1,0
pay_100107,cust_1461,0,0.07026815063802132,UPI,5923,0,0
pay_100108,cust_1214,0,0.11367688517004204,COD,11950,0,0
pay_100109,cust_1251,0,0.20538676037219453,UPI,8370,0,0
pay_100110,cust_1189,0,0.12768092001630765,Debit_Card,9659,0,0
pay_100111,cust_1295,0,0.06940176364198726,UPI,3573,0,0
pay_100112,cust_1212,1,0.3429309559714191,Debit_Card,7670,0,1
pay_100113,cust_1207,0,0.21194398797412822,UPI,2201,0,0
pay_100114,cust_1236,0,0.0016522766765457396,UPI,11611,0,0
pay_100115,cust_1337,0,0.06877478082459902,Debit_Card,9613,0,0
pay_100116,cust_1366,0,0.02454198714065363,UPI,8325,0,0
pay_100117,cust_1052,0,0.10521066467310142,UPI,9367,0,0
pay_100118,cust_1279,0,0.19852682457842885,UPI,5764,0,0
pay_100119,cust_1409,0,0.07078258533246244,UPI,9468,0,0
pay_100120,cust_1216,0,0.0015429958140380435,UPI,9646,0,0
pay_100121,cust_1251,0,0.012113034716226276,UPI,9276,0,0
pay_100122,cust_1187,0,0.15589779107324997,COD,10058,0,0
pay_100123,cust_1379,0,0.13969452353521022,UPI,10219,0,0
pay_100124,cust_1492,0,0.11319833909163406,Credit_Card,6386,0,0
pay_100125,cust_1040,0,0.2231928142027451,UPI,5435,0,0
pay_100126,cust_1156,1,0.0182713873867174,UPI,6119,0,0
pay_100127,cust_1014,0,0.24675336275274773,COD,6691,0,1
pay_100128,cust_1300,0,0.21820925008549855,UPI,11845,0,0
pay_100129,cust_1064,0,0.1178486078978897,COD,8375,0,0
pay_100130,cust_1344,0,0.03885022748754868,UPI,11600,0,0
pay_100131,cust_1326,0,0.09366785274829474,COD,9356,0,0
pay_100132,cust_1008,0,0.04447638296482434,Credit_Card,6901,0,0
pay_100133,cust_1343,0,0.19084848096537985,COD,4522,0,0
pay_100134,cust_1128,0,0.11254971025158443,Credit_Card,7238,0,0
pay_100135,cust_1491,0,0.10119865571217783,Credit_Card,7484,0,0
pay_100136,cust_1135,0,0.05147118368152313,UPI,3270,0,0
pay_100137,cust_1471,0,0.03963571481565455,UPI,11469,0,0
pay_100138,cust_1062,0,0.04612895145069802,COD,10489,0,1
pay_100139,cust_1138,0,0.1875956003432159,UPI,4715,0,0
pay_100140,cust_1498,0,0.22222473121701444,UPI,8194,0,0
pay_100141,cust_1080,0,0.07688849585178892,COD,4476,0,0
pay_100142,cust_1391,1,0.12563056922876006,UPI,5237,0,0
pay_100143,cust_1162,0,0.20275490742100408,COD,11403,0,0
pay_100144,cust_1418,0,0.011766239491944216,COD,2252,0,0
pay_100145,cust_1288,0,0.05249540139717006,Credit_Card,2892,0,0
pay_100146,cust_1378,0,0.07017907160896766,COD,8289,0,1
pay_100147,cust_1260,0,0.14164513290511377,UPI,2177,0,1
pay_100148,cust_1489,0,0.3381772761772078,UPI,1605,0,0
pay_100149,cust_1230,0,0.2968738620640004,Credit_Card,6253,0,0
pay_100150,cust_1040,0,0.007869939358029415,UPI,3446,0,0
pay_100151,cust_1027,0,0.3423263645153491,COD,7044,0,0
pay_100152,cust_1134,1,0.10009284658627456,COD,2595,0,1
pay_100153,cust_1200,0,0.33075467728753466,Credit_Card,8485,0,0
pay_100154,cust_1327,0,0.09410605921443863,UPI,3282,0,0
pay_100155,cust_1267,0,0.23060251255957687,COD,6041,0,1
pay_100156,cust_1417,1,0.05974039804474587,Credit_Card,4757,0,0
pay_100157,cust_1032,0,0.20826054862504853,Credit_Card,7713,0,0
pay_100158,cust_1047,0,0.1304888818492169,UPI,11689,0,0
pay_100159,cust_1406,1,0.012499750201518254,COD,6369,0,0
pay_100160,cust_1061,1,0.05901023323182077,Credit_Card,3061,0,1
pay_100161,cust_1215,0,0.045947245578036894,COD,5506,0,1
pay_100162,cust_1292,0,0.0911558992069447,COD,11367,0,0
pay_100163,cust_1098,0,0.00761191168819933,UPI,10814,0,0
pay_100164,cust_1171,0,0.011014036181310421,Credit_Card,5481,0,0
pay_100165,cust_1359,1,0.0638543007431604,COD,10993,0,1
pay_100166,cust_1213,0,0.27925821477142204,UPI,7182,0,0
pay_100167,cust_1474,0,0.055115081611317264,COD,7282,0,1
pay_100168,cust_1034,0,0.41739962295373007,COD,2443,0,0
pay_100169,cust_1448,0,0.006035455281599651,Debit_Card,6050,0,0
pay_100170,cust_1226,0,0.19225461883768125,COD,10637,0,1
pay_100171,cust_1100,0,0.015062463020402317,COD,2100,0,1
pay_100172,cust_1430,0,0.20358678229828955,COD,7876,0,1
pay_100173,cust_1461,0,0.11675383459711493,UPI,11109,0,0
pay_100174,cust_1130,0,0.14422076678622922,UPI,3024,0,0
pay_100175,cust_1256,0,0.19687743888850112,Credit_Card,5266,0,0
pay_100176,cust_1004,0,0.03875293516237976,Debit_Card,1750,1,0
pay_100177,cust_1217,0,0.19023928387951694,Credit_Card,11236,0,0
pay_100178,cust_1254,0,0.07856927721541475,COD,1578,0,0
pay_100179,cust_1397,0,0.04060817067755501,UPI,4623,1,1
pay_100180,cust_1358,0,0.22594123618792725,Debit_Card,10589,0,0
